epoch,train_acc,train_loss,val_acc,val_loss
1,68.225,58.966,81.9475,44.2639
2,79.7297,44.7606,85.2298,37.328
3,83.0168,40.1044,87.5274,33.0615
4,84.2586,36.7073,89.3873,30.1398
5,85.9752,34.9646,89.3873,28.39
6,87.1439,32.5171,90.919,26.3893
7,87.8013,31.4868,90.5908,25.512
8,87.6552,30.8408,91.6849,23.8094
9,88.4222,28.7192,91.6849,23.2995
10,89.6275,27.1345,91.3567,22.4581
11,89.4083,27.1015,93.2166,20.945
12,90.2849,26.5604,94.0919,19.9603
13,89.7736,26.2229,93.9825,19.3029
14,90.1753,25.4662,94.6389,18.8091
15,90.9788,24.419,94.3107,18.3797
16,90.8327,23.6128,95.186,17.7347
17,91.9284,22.3456,94.9672,17.2275
18,91.4901,22.3472,95.2954,16.628
19,91.198,22.6198,95.6236,16.1551
20,91.5267,22.5285,96.0613,15.8046
21,91.4536,22.1478,96.2801,15.4109
22,91.5632,21.5755,96.3895,15.1163
23,92.0745,21.8845,96.3895,14.6831
24,92.5858,20.4611,96.7177,14.379
25,92.5128,20.8145,96.7177,14.0575
26,93.0241,19.8419,96.7177,13.7769
27,92.038,20.4565,96.9365,13.5269
28,92.6589,20.0757,96.4989,13.5138
29,92.4397,19.8957,96.8271,13.0153
30,92.9511,19.4071,97.046,12.7619
31,91.8554,20.366,97.7024,12.519
32,92.6589,19.4167,97.3742,12.4
33,92.8415,19.5298,97.2648,12.1833
34,93.3163,19.1765,97.046,12.1218
35,92.6954,18.6457,97.1554,11.8207
36,93.2067,18.4809,96.8271,11.7941
37,93.3528,18.2578,96.9365,11.5092
38,93.6815,17.64,97.2648,11.2259
39,92.805,18.8025,97.9212,11.1419
40,92.878,18.4541,98.0306,11.0092
41,93.9372,17.16,97.593,10.8724
42,93.8276,17.7086,98.14,10.6288
43,93.718,18.0771,98.0306,10.557
44,92.805,18.4231,98.2495,10.3036
45,93.7911,16.8346,98.4683,10.3083
46,93.5354,17.8885,98.4683,10.1978
47,93.6085,17.4063,98.4683,9.9248
48,94.0102,16.7396,98.4683,9.9697
49,93.645,16.3689,98.4683,9.8406
50,93.2432,17.4434,98.3589,9.8369
51,93.4989,17.6083,98.14,9.6483
52,93.8276,16.5091,98.0306,9.4405
53,93.7911,16.4026,98.3589,9.3826
54,93.9737,16.3945,98.0306,9.7433
55,93.645,16.9808,98.3589,9.2624
56,94.0102,16.22,98.2495,9.2343
57,94.9598,14.8753,97.9212,9.2371
58,94.3024,15.861,98.4683,9.0522
59,93.4989,16.4461,98.4683,8.8627
60,94.0833,15.7428,98.0306,8.8792
61,93.6815,15.8277,98.4683,8.9761
62,94.2659,15.3167,98.4683,8.6
63,93.718,16.0084,98.5777,8.727
64,94.1198,15.5988,98.4683,8.4793
65,94.412,15.8791,98.0306,8.7614
66,94.1198,14.9497,98.5777,8.3308
67,93.645,16.0809,98.5777,8.4155
68,94.1563,15.7218,98.3589,8.3638
69,93.2067,16.8892,98.4683,8.1576
70,93.4259,16.4562,98.4683,8.1672
71,94.485,15.7852,98.4683,8.0762
72,94.7407,15.0802,98.5777,7.9269
73,94.412,15.1997,98.6871,7.8307
74,93.9737,15.4092,98.7965,7.8187
75,94.8868,14.7842,98.5777,7.9317
76,94.5581,14.94,98.6871,8.0538
77,95.1424,14.7019,98.4683,7.8549
78,94.5581,14.6052,98.5777,7.6901
79,94.7772,14.6532,98.6871,7.4925
80,94.412,15.1526,98.7965,7.6142
81,94.9233,14.0019,98.5777,7.4577
82,94.7042,14.5204,98.5777,7.4361
83,94.8137,14.1579,98.5777,7.4566
84,94.3755,14.7502,98.6871,7.2899
85,94.7772,14.0086,98.9059,7.3123
86,93.8641,14.9519,98.3589,7.6463
87,94.485,14.6637,98.6871,7.3001
88,94.1198,14.9058,98.7965,7.7616
89,94.5581,14.105,98.6871,7.0403
90,94.0833,14.5378,98.4683,7.5443
91,95.0329,14.272,98.7965,7.1279
92,94.9233,14.0457,98.5777,6.8479
93,94.9963,14.3284,98.5777,6.8345
94,95.3251,13.7456,98.4683,7.4614
95,94.6676,14.1997,98.5777,6.9955
96,94.1928,14.3223,98.5777,6.693
97,94.4485,14.4975,98.6871,6.7166
98,94.9233,13.2017,98.7965,6.5452
99,95.0329,14.609,98.5777,6.6562
100,95.2885,14.2401,98.7965,6.5234
