epoch,train_acc,train_loss,val_acc,val_loss
1,68.225,58.5546,81.1816,46.0329
2,78.0862,46.141,84.7921,38.3284
3,81.5194,41.5247,87.6368,34.7176
4,83.309,37.152,89.7155,31.308
5,84.7699,36.0969,89.8249,29.3888
6,85.9752,33.8504,89.4967,29.0329
7,85.3178,33.8653,91.2473,26.8485
8,88.0935,31.596,91.6849,25.5574
9,87.5822,30.849,92.6696,23.8017
10,88.5683,29.7051,92.3414,23.7019
11,88.2031,29.775,92.6696,22.6128
12,88.0935,28.2509,94.2013,21.3642
13,88.2031,27.8564,93.8731,21.0565
14,88.9335,27.1738,94.7484,19.9225
15,88.9335,27.0803,94.5295,19.488
16,89.8101,25.6259,94.6389,19.6664
17,88.4587,26.963,95.5142,18.814
18,89.2988,25.9369,95.5142,18.1926
19,89.6275,25.1294,94.2013,18.599
20,90.7232,24.537,95.5142,17.5649
21,90.7597,23.8638,95.2954,17.4612
22,90.9423,23.7004,95.733,17.1209
23,90.504,23.6918,96.2801,16.2273
24,90.2484,24.4609,96.1707,16.2203
25,91.0519,23.5875,95.6236,15.9982
26,90.9788,22.4693,96.7177,15.3926
27,91.3075,21.9333,96.4989,15.3556
28,91.3075,23.0714,96.4989,15.1816
29,91.5632,21.3756,96.8271,14.7397
30,90.7962,22.2252,96.6083,14.8931
31,91.271,21.6869,97.2648,14.3804
32,90.9423,22.0016,97.2648,13.7641
33,91.8554,21.4273,97.4836,13.6507
34,90.9423,21.4821,97.1554,13.4693
35,91.9284,20.9773,97.3742,13.3658
36,91.7458,20.5919,97.3742,13.561
37,92.4032,20.2077,97.4836,12.9462
38,91.7093,20.4309,97.4836,13.1675
39,91.271,21.7496,97.593,12.7344
40,92.0015,20.2914,97.2648,12.7274
41,92.9511,19.3483,97.8118,12.3809
42,91.3075,20.2945,97.3742,12.5612
43,92.4032,19.9387,97.4836,12.4801
44,91.7823,20.2969,97.2648,13.2515
45,92.2571,19.2877,97.9212,11.9685
46,92.7684,19.4711,98.14,12.04
47,92.4032,19.7699,97.4836,11.9679
48,91.9649,20.1992,98.0306,11.5438
49,92.5858,18.8134,97.4836,11.9816
50,92.6224,19.0821,97.7024,11.2679
51,92.2571,19.3709,97.4836,11.6129
52,92.5128,19.309,98.14,11.5769
53,92.4763,18.8223,98.0306,10.9382
54,91.7823,19.6006,98.14,10.7936
55,92.6589,19.3989,98.2495,10.6879
56,93.0241,18.2708,98.2495,10.7008
57,92.6224,18.9031,98.5777,10.641
58,92.2571,18.845,98.3589,10.2797
59,92.7319,18.0713,98.3589,10.1937
60,93.0606,18.2094,98.14,10.4326
61,93.1337,18.568,98.4683,10.0189
62,92.6224,19.1368,97.046,11.4662
63,93.1702,18.3089,98.6871,10.0811
64,92.7684,18.2706,98.5777,9.798
65,91.9649,18.3918,98.2495,9.7642
66,92.7319,18.5251,98.4683,9.6663
67,93.0606,18.0301,97.7024,10.3054
68,92.878,18.1236,97.9212,9.8646
69,92.6224,18.0719,98.4683,9.5853
70,92.111,18.9969,98.6871,9.4389
71,92.4397,18.1286,98.14,9.6534
72,92.9876,18.5514,98.4683,9.3077
73,92.8415,17.7163,97.9212,9.9105
74,93.2798,18.0484,98.14,9.4459
75,93.6815,17.1018,97.8118,10.0362
76,92.878,18.3587,98.4683,9.3972
77,92.5858,18.7685,98.5777,9.1175
78,93.2432,17.0673,98.7965,8.9273
79,92.6954,18.533,97.8118,9.5505
80,92.9511,17.9337,98.14,9.2027
81,93.4259,17.0794,98.2495,9.0381
82,92.7684,17.1732,98.6871,8.9676
83,93.5354,16.362,98.14,9.2348
84,92.7684,18.3417,98.4683,8.8501
85,91.8919,19.1014,98.14,9.3014
86,92.9876,18.0656,98.3589,8.668
87,93.6085,16.805,98.6871,8.8001
88,92.9876,17.4353,98.3589,8.9792
89,94.1563,16.4748,98.7965,8.547
90,94.3389,15.9871,98.4683,8.5199
91,93.4624,17.5668,98.4683,8.5265
92,93.5354,17.112,98.4683,8.4089
93,93.572,17.3858,98.4683,8.3415
94,92.7684,17.1208,98.14,9.0241
95,93.4259,16.7036,98.4683,8.6855
96,93.718,16.7159,98.4683,8.3257
97,93.1337,17.1577,98.3589,8.2317
98,93.3163,17.8523,98.3589,8.1459
99,93.0972,17.0214,98.6871,8.3528
100,93.1702,17.53,98.14,8.8143
