epoch,train_acc,train_loss,val_acc,val_loss
1,71.1833,55.9952,85.1204,40.4285
2,82.4324,40.4383,87.7462,33.2612
3,85.8291,35.0626,90.2626,28.8225
4,87.3996,32.2618,91.5755,25.2605
5,89.664,29.2106,93.7637,22.8946
6,89.5179,28.044,93.4354,21.4289
7,90.5771,25.87,94.4201,19.9488
8,91.0519,24.2842,94.3107,19.016
9,90.8327,24.6497,94.9672,18.3781
10,91.5267,23.4771,95.6236,16.9833
11,91.6362,23.6752,96.4989,16.2844
12,92.0015,21.742,96.8271,15.4578
13,92.0745,21.3354,96.4989,14.9704
14,92.7319,20.5884,96.0613,14.7204
15,92.3302,20.8513,97.046,13.7333
16,93.1702,19.631,96.8271,13.2426
17,93.7911,18.3256,97.2648,12.7752
18,92.9145,19.5962,97.593,12.5486
19,93.5354,17.9756,96.7177,12.4144
20,93.8641,18.0288,98.0306,11.547
21,94.3024,17.8005,97.8118,11.2873
22,93.572,17.6993,98.14,10.9802
23,94.0467,17.7077,98.3589,10.6124
24,93.9007,17.3199,97.9212,10.4241
25,93.6085,17.2726,98.2495,10.7833
26,94.2294,16.9481,98.3589,9.8787
27,93.4259,16.8792,98.4683,9.6101
28,94.7042,15.6156,98.5777,9.7372
29,94.9233,15.3189,98.4683,9.193
30,94.0833,16.7674,98.9059,9.354
31,94.7407,15.166,98.6871,9.0756
32,94.8137,14.8697,98.9059,8.9328
33,93.9007,15.9032,98.4683,8.9668
34,94.2659,15.8921,98.7965,8.4216
35,94.5215,15.157,98.4683,8.6078
36,94.7407,14.6924,98.9059,8.0796
37,94.5581,14.4217,98.7965,7.9746
38,94.5581,14.8277,98.9059,7.7546
39,95.1424,14.2082,98.7965,7.6921
40,95.0329,13.5838,99.0153,7.4813
41,95.252,13.5967,99.2341,7.412
42,95.0694,14.0905,99.0153,7.2763
43,95.2885,14.3218,99.0153,7.2533
44,94.7772,14.2114,99.1247,7.027
45,94.9963,13.6099,99.1247,7.0377
46,94.7772,14.0001,99.1247,6.9948
47,94.8868,13.7496,99.3435,6.6898
48,95.0694,13.4699,99.3435,6.6369
49,95.4346,13.4002,98.7965,6.9794
50,95.2885,13.0385,99.2341,6.5132
51,95.6538,12.7332,99.2341,6.4016
52,95.3981,13.273,99.3435,6.2029
53,95.179,13.5151,99.3435,6.1514
54,95.5807,12.7556,99.3435,6.1367
55,95.3981,12.7843,99.0153,6.2329
56,95.8364,12.1345,99.0153,6.2462
57,94.9233,12.8209,99.2341,6.2452
58,95.3251,13.1499,99.453,5.7797
59,95.9459,12.3328,99.2341,5.9204
60,95.6903,11.9983,99.453,5.6862
61,95.5807,12.6434,99.453,5.6475
62,95.3981,12.7659,99.2341,5.7705
63,94.9598,13.2741,99.3435,5.6557
64,95.7268,11.6655,99.453,5.3969
65,95.7268,11.3239,99.3435,5.3034
66,96.019,11.0875,99.5624,5.3454
67,95.4346,12.8854,99.453,5.3681
68,95.6538,12.1358,99.453,5.195
69,95.2885,11.9161,99.3435,5.1712
70,95.2155,12.1534,99.5624,5.1027
71,95.1059,12.8008,99.453,5.4074
72,96.2016,10.9518,99.3435,4.9899
73,95.6172,12.4853,99.453,4.9556
74,96.2747,10.9547,99.453,5.1642
75,96.1286,11.176,99.3435,4.901
76,96.4938,9.8906,99.453,4.814
77,95.3616,12.3486,99.5624,4.6673
78,95.7268,11.7418,99.3435,4.9231
79,95.8364,11.7001,99.453,4.6567
80,95.8729,11.4708,99.453,4.5167
81,95.8729,11.2964,99.5624,4.6331
82,96.3112,11.3659,99.5624,4.549
83,95.9459,11.2454,99.5624,4.4422
84,95.6903,11.9126,99.3435,4.4886
85,95.4711,12.187,99.453,4.7846
86,96.1286,10.6079,99.5624,4.3761
87,95.9094,11.0528,99.5624,4.2742
88,96.4573,9.9855,99.5624,4.3481
89,96.1651,10.4035,99.453,4.5295
90,96.2747,10.7341,99.5624,4.2662
91,95.8729,10.2705,99.3435,4.5245
92,96.2381,10.3111,99.5624,4.2513
93,96.4938,10.2446,99.5624,4.1032
94,95.8364,11.3774,99.3435,4.1597
95,95.7999,11.3985,99.5624,4.2097
96,95.9459,10.5883,99.453,4.118
97,95.9094,10.7254,99.3435,4.3581
98,95.9459,10.6359,99.5624,4.0603
99,96.092,10.7251,99.5624,3.9741
100,96.6034,10.2115,99.3435,4.1296
