epoch,train_acc,train_loss,val_acc,val_loss
1,64.5727,61.82,84.7921,48.5548
2,78.8897,48.0669,86.5427,40.0145
3,81.6289,42.6581,88.9497,34.77
4,83.9664,38.6745,89.2779,32.1506
5,85.5734,36.009,91.1379,29.6838
6,86.8517,33.6024,92.6696,27.4478
7,86.5595,32.8145,92.9978,26.0337
8,87.8013,30.6063,93.9825,24.375
9,87.9839,29.844,93.8731,23.8798
10,88.7874,28.3499,93.9825,22.1032
11,88.6779,28.5509,94.6389,21.2806
12,89.8466,26.7414,95.186,20.3996
13,90.3579,25.3688,95.6236,19.8351
14,89.8466,25.3441,96.0613,19.104
15,89.7005,24.7281,95.9519,18.3922
16,90.7962,23.7797,96.0613,18.2644
17,91.5632,23.7758,96.6083,17.4861
18,91.6728,22.4316,96.3895,17.1097
19,91.5267,22.8432,96.6083,16.6789
20,91.344,23.3177,96.6083,16.148
21,90.9423,22.4567,96.6083,16.0022
22,91.0519,23.1266,96.8271,15.666
23,91.198,22.2181,96.9365,15.1508
24,91.9649,21.8027,97.2648,14.7583
25,92.6224,20.8858,97.2648,14.4857
26,92.7684,20.5205,97.2648,14.5139
27,93.0606,19.4363,97.046,14.4568
28,91.4901,20.898,97.593,13.7166
29,92.4032,19.5373,97.4836,13.7582
30,92.038,20.5206,97.8118,13.3156
31,92.1476,20.1633,97.7024,13.1989
32,93.1702,19.2029,97.8118,12.6754
33,92.878,18.7286,97.8118,12.5743
